Channel ID,Channel URL,Channel title
UCnpekFV93kB1O0rVqEKSumg,http://www.youtube.com/channel/UCnpekFV93kB1O0rVqEKSumg,Backstage With Millionaires
UCjpxbl1_Uvr0VlgMz7GUCjw,http://www.youtube.com/channel/UCjpxbl1_Uvr0VlgMz7GUCjw,Basics Explained H3Vtux
UCnf609gsCjoJd_GvQ31SFVA,http://www.youtube.com/channel/UCnf609gsCjoJd_GvQ31SFVA,Bay Learn
UCArQaSc_Vw84evNBPkuQAUA,http://www.youtube.com/channel/UCArQaSc_Vw84evNBPkuQAUA,Bayan Bennett
UCFlzHaNC_YJTIRoXbx6zfrA,http://www.youtube.com/channel/UCFlzHaNC_YJTIRoXbx6zfrA,BBarters
UC-8QAzbLcRglXeN_MY9blyw,http://www.youtube.com/channel/UC-8QAzbLcRglXeN_MY9blyw,Ben Awad
UCS0N5baNlQWJCUrhCEo8WlA,http://www.youtube.com/channel/UCS0N5baNlQWJCUrhCEo8WlA,Ben Eater
UCuGDdLeQiloQ45CtvDCoejQ,http://www.youtube.com/channel/UCuGDdLeQiloQ45CtvDCoejQ,Ben Parker
UCQUNME_uamXEW1c58iEADWw,http://www.youtube.com/channel/UCQUNME_uamXEW1c58iEADWw,Benjamin Spak
UCTD_PLq3KAUwkIIs9fk3pAA,http://www.youtube.com/channel/UCTD_PLq3KAUwkIIs9fk3pAA,Better Coding Academy
UCxo8ooAqXiObjuaIy10ud0A,http://www.youtube.com/channel/UCxo8ooAqXiObjuaIy10ud0A,Beyond Science
UCBmdoqkBaIUh128ffq8XATw,http://www.youtube.com/channel/UCBmdoqkBaIUh128ffq8XATw,Bhagwan Singh Vishwakarma
UCB4TQJyhwYxZZ6m4rI9-LyQ,http://www.youtube.com/channel/UCB4TQJyhwYxZZ6m4rI9-LyQ,Big Data & Brews
UCCGoM_sk2UGIiaTdtG3tHBw,http://www.youtube.com/channel/UCCGoM_sk2UGIiaTdtG3tHBw,Bigdata Spark Online Training
UCOoKt2u-bE1NuELXSFaEdUw,http://www.youtube.com/channel/UCOoKt2u-bE1NuELXSFaEdUw,BinaryBunny
UCKTehwyGCKF-b2wo0RKwrcg,http://www.youtube.com/channel/UCKTehwyGCKF-b2wo0RKwrcg,Bisqwit
UC_hG9fglfmShkwex1KVydHA,http://www.youtube.com/channel/UC_hG9fglfmShkwex1KVydHA,Bitfumes
